"Literal",Code
"denekamp",http://www.gemeentegeschiedenis.nl/amco/10245
"deurne",http://www.gemeentegeschiedenis.nl/amco/10379
"deurne en liessel",http://www.gemeentegeschiedenis.nl/amco/10379
"deursen en dennenburg",http://www.gemeentegeschiedenis.nl/amco/10209
"deventer",http://www.gemeentegeschiedenis.nl/amco/10899
"didam",http://www.gemeentegeschiedenis.nl/amco/10153
"dieden, demen en langel",http://www.gemeentegeschiedenis.nl/amco/11138
"diemen",http://www.gemeentegeschiedenis.nl/amco/11039
"diepenheim",http://www.gemeentegeschiedenis.nl/amco/10311
"diepenveen",http://www.gemeentegeschiedenis.nl/amco/10933
"dieren",http://www.gemeentegeschiedenis.nl/amco/10084
"diessen",http://www.gemeentegeschiedenis.nl/amco/11185
"diever",http://www.gemeentegeschiedenis.nl/amco/10418
"dinkelland",http://www.gemeentegeschiedenis.nl/amco/10245
"dinteloord en prinsenland",http://www.gemeentegeschiedenis.nl/amco/11193
"dinther",http://www.gemeentegeschiedenis.nl/amco/10690
"dinxperlo",http://www.gemeentegeschiedenis.nl/amco/11154
"dirksland",http://www.gemeentegeschiedenis.nl/amco/11344
"dodewaard",http://www.gemeentegeschiedenis.nl/amco/10647
"doesburg",http://www.gemeentegeschiedenis.nl/amco/10327
"doetinchem",http://www.gemeentegeschiedenis.nl/amco/10396
"dokkum",http://www.gemeentegeschiedenis.nl/amco/10198
"domburg",http://www.gemeentegeschiedenis.nl/amco/10236
"domburg-binnen",http://www.gemeentegeschiedenis.nl/amco/10236
"domburg-buiten",http://www.gemeentegeschiedenis.nl/amco/10178
"dommelen",http://www.gemeentegeschiedenis.nl/amco/10424
"dongen",http://www.gemeentegeschiedenis.nl/amco/11412
"dongeradeel",http://www.gemeentegeschiedenis.nl/amco/10198
"doniawerstal",http://www.gemeentegeschiedenis.nl/amco/10086
"doorn",http://www.gemeentegeschiedenis.nl/amco/10213
"doornspijk",http://www.gemeentegeschiedenis.nl/amco/10069
"doorwerth",http://www.gemeentegeschiedenis.nl/amco/11304
"dordrecht",http://www.gemeentegeschiedenis.nl/amco/11157
"dorth",http://www.gemeentegeschiedenis.nl/amco/10061
"drachten",http://www.gemeentegeschiedenis.nl/amco/10405
"drechterland",http://www.gemeentegeschiedenis.nl/amco/10642
"dreischor",http://www.gemeentegeschiedenis.nl/amco/10885
"dreumel",http://www.gemeentegeschiedenis.nl/amco/11232
"driebergen",http://www.gemeentegeschiedenis.nl/amco/10777
"driebergen-rijsenburg",http://www.gemeentegeschiedenis.nl/amco/10777
"driebruggen",http://www.gemeentegeschiedenis.nl/amco/10830
"driel",http://www.gemeentegeschiedenis.nl/amco/10341
"driewegen",http://www.gemeentegeschiedenis.nl/amco/11115
"drimmelen",http://www.gemeentegeschiedenis.nl/amco/10258
"drongelen",http://www.gemeentegeschiedenis.nl/amco/10111
"drongelen, haagoort, gansoijen en doeveren",http://www.gemeentegeschiedenis.nl/amco/10111
"dronrijp",http://www.gemeentegeschiedenis.nl/amco/11315
"dronten",http://www.gemeentegeschiedenis.nl/amco/10210
"drunen",http://www.gemeentegeschiedenis.nl/amco/10428
"druten",http://www.gemeentegeschiedenis.nl/amco/10068
"dubbeldam",http://www.gemeentegeschiedenis.nl/amco/10781
"duist",http://www.gemeentegeschiedenis.nl/amco/10070
"duiveland",http://www.gemeentegeschiedenis.nl/amco/11237
"duiven",http://www.gemeentegeschiedenis.nl/amco/11028
"duivendijke",http://www.gemeentegeschiedenis.nl/amco/10335
"duizel en steensel",http://www.gemeentegeschiedenis.nl/amco/11005
"durgerdam",http://www.gemeentegeschiedenis.nl/amco/10947
"dussen",http://www.gemeentegeschiedenis.nl/amco/10261
"dussen, munster en muilkerk",http://www.gemeentegeschiedenis.nl/amco/10261
"dwingeloo",http://www.gemeentegeschiedenis.nl/amco/10331
"echt",http://www.gemeentegeschiedenis.nl/amco/10941
"echt-susteren",http://www.gemeentegeschiedenis.nl/amco/10941
"echteld",http://www.gemeentegeschiedenis.nl/amco/10832
"edam",http://www.gemeentegeschiedenis.nl/amco/10884
"edam-volendam",http://www.gemeentegeschiedenis.nl/amco/10884
"ede",http://www.gemeentegeschiedenis.nl/amco/10743
"ee",http://www.gemeentegeschiedenis.nl/amco/11156
"eede",http://www.gemeentegeschiedenis.nl/amco/11128
"eelde",http://www.gemeentegeschiedenis.nl/amco/10622
"eemnes",http://www.gemeentegeschiedenis.nl/amco/10248
"eemsmond",http://www.gemeentegeschiedenis.nl/amco/10246
"eenrum",http://www.gemeentegeschiedenis.nl/amco/10904
"eersel",http://www.gemeentegeschiedenis.nl/amco/10741
"eethen",http://www.gemeentegeschiedenis.nl/amco/10010
"eethen, genderen en heesbeen",http://www.gemeentegeschiedenis.nl/amco/10010
"egmond",http://www.gemeentegeschiedenis.nl/amco/10421
