Tabel 6: Opgave van het aantal krachtswerktuigen in de onderscheidene beroepsklassen gebezigd,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMEENTEN,Gedreven door,,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XIX,XX,XXXIII,Totaal,,
Ravenstein,Stoom,,,,,,,,,,,1,,,,,,2,,,,,,3,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Reek,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Rensel,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Riethoven,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Rijsbergen,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Roosendaal c. a.,Stoom,,,,,,,,,,,,,,1,,,25,,,1,,,27,,
,Water,,,,,,,,,,,,,,,,,2,,,,,,2,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Rosmalen,Stoom,,,,1,,,,,,,,,,,,,1,,,,,,2,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Ruephen c. a.,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,,
Sambeek,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Schaijk,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Schijndel,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,,,,,,4,4,,
Soerendonk c. a.,Stoom,,,,,,,,,,,1,,,,,,,,,,,,1,,
Someren,Wind,,,,,,,,,,,1,,,,,,2,,,,,,3,,
Som c. a.,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Sprang,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Standaarbuiten,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Steenbergen c. a.,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,,
,Water,,,,,,,,,,,,,,,,,,,,,,1,1,,
,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,,
Stiphout,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Stratum,Stoom,,,,,,1,,,,,,,,,3,,2,,,,1,,7,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Strijp,Stoom,,,,,,,1,,,,,,,,1,,1,,,,,,3,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Terheijden,Wind,,,,,,,,,,,,,,,,1,2,,,,,,3,,
Teteringen,Stoom,,,,,,,1,,,,1,,,,1,,,,,,,,3,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Tilburg,Stoom,,2,,,3,,3,,2,1,4,,,8,76,,8,,,1,,,108,,
,Gas,,,1,,,,,,,,,,,,,,,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,10,,,,,,10,,
Tongelre,Water,,,,,,,,,,,,,,,,,1,,,,,,1,,
Uden,Stoom,,,,,2,,,,,,,,,,,,1,,,,,,3,,
,Wind,,,,,,,,,,,,,,,,,5,,,,,,5,,
Udenhout,Stoom,,1,,,,,,,,,,,,,,,,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,,
Valkenswaard,Water,,,,,,,,,,,,,,,,,,1,,,,,1,,
Veen,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Veghel,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Veldhoven c. a.,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Velp,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Vessen c. a.,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Vierlingsbeek,Stoom,,,,1,,,,,,,,,,,,,,,,,,,1,,
,Water,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Vlijmen,Stoom,,,,,,,,,,,,,,,,,3,,,,,,3,,330045
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Vught,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Waalre,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Waalwijk,Stoom,,,,,,,1,,1,,,,,,,,1,,,,1,,4,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Wanroy,Stoom,,,,,,,,,,,,,,,,,3,,,,,,3,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Waspik,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,,,,1,,,1,,
de Werken c.a.,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,,
Werkendam,Stoom,,,,,,,,,,,,,,,,,1,,,1,,,2,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Westerhoven,Water,,,,,,,,,,,,,,,,,1,,,,,,1,,
Wijk c.a.,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Willemstad,Water,,,,,,,,,,,,,,,,,,1,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Woensdrecht,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,1,,,,,,1,,
Woensel,Stoom,,,,,,,,,,,,,,,,,3,,,,,,3,,
,Water,,,,,,,,,,,,,,,,,1,,,1,,,2,,
Woudrichem,Water,,,,,,,,,,,,,,,,,2,,,,,,2,,
,Wind,,,,,,,,,,,,,,,,,,,,,,1,1,,
,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
Wouw,Stoom,,,,,,,,,,,,,,,,,2,,,,,,2,,
,Gas,,,,,,,,,,,,,,,,,1,,,,,,1,,
,Wind,,,,,,,,,,,,,,,,,4,,,,,,4,,
Zeeland,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
Zeelst,Stoom,,,,,,,,,,,,,,,,,1,,,,,,1,,
Zevenbergen,Stoom,,,,,,,,,,,,,,,1,,10,,,1,,,12,,
,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Zundert,Wind,,,,,,,,,,,,,,,,,3,,,,,,3,,
Zwaluwe (hooge- en lage),Stoom,,,,,,,,,,,,,,,,,1,,,,,2,3,,
,Water,,,,,,,,,,,,,,,,,,,,,,1,1,,
,Wind,,,,,,,,,,,,,,,,,2,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Totaal ,Stoom,,4,2,5,9,9,18,0,8,3,26,0,0,19,118,3,177,5,1,13,8,2,430,,
Totaal ,Gas,,0,8,0,0,0,0,0,2,0,0,0,0,1,0,0,9,0,0,3,0,0,23,,
Totaal ,Water,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,18,2,0,2,0,3,29,,
Totaal ,Wind,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,272,1,0,3,0,6,286,,
Algemene totaal,,,4,10,5,9,10,18,0,10,3,28,0,0,20,119,7,476,8,1,21,8,11,768,,
